Category,License,Dependency,Notes
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.nimbusds # nimbus-jose-jwt # 4.41.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.zaxxer # HikariCP-java6 # 2.3.13,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.zaxxer # HikariCP-java7 # 2.4.12,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-cli # commons-cli # 1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-lang # commons-lang # 2.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-logging # commons-logging # 1.1.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-logging # commons-logging # 1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-net # commons-net # 3.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-pool # commons-pool # 1.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",javax.inject # javax.inject # 1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",javax.validation # validation-api # 1.1.0.Final,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",log4j # log4j # 1.2.16,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",log4j # log4j # 1.2.17,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.minidev # accessors-smart # 1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.minidev # json-smart # 2.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.avro # avro # 1.8.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.avro # avro # 1.8.2-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.avro # avro-ipc # 1.8.2-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.avro # avro-mapred # 1.8.2-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-math3 # 3.4.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-client # 2.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-framework # 2.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-recipes # 2.7.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.geronimo.specs # geronimo-jcache_1.0_spec # 1.0-alpha-1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.htrace # htrace-core4 # 4.1.0-incubating,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.ivy # ivy # 2.4.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kafka # kafka-clients # 2.2.1-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.kafka # kafka_2.11 # 2.2.1-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-column # 1.9.0-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-common # 1.9.0-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-encoding # 1.9.0-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-format # 2.4.0-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-hadoop # 1.9.0-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-jackson # 1.9.0-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.velocity # velocity # 1.7,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.zookeeper # zookeeper # 3.4.5-cdh6.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.jackson # jackson-core-asl # 1.9.13,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.jackson # jackson-jaxrs # 1.9.13,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.jackson # jackson-mapper-asl # 1.9.13,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.jackson # jackson-mapper-asl # 1.9.13-cloudera.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.jackson # jackson-xc # 1.9.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.woodstox # woodstox-core-asl # 4.4.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.ehcache # ehcache # 3.3.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.lz4 # lz4-java # 1.4.0,
